sl_no,Player Name,Type,Price Cr,Team
0,Ben Stokes ,All-Rounder,16.25,Chennai Super Kings
1,Ravindra Jadeja ,All-Rounder,16,Chennai Super Kings
2,Deepak Chahar ,Bowler,14,Chennai Super Kings
3,MS Dhoni ,Wicket-Keeper,12,Chennai Super Kings
4,Moeen Ali ,All-Rounder,8,Chennai Super Kings
5,Ambati Rayudu ,Batter,6.75,Chennai Super Kings
6,Ruturaj Gaikwad ,Batter,6,Chennai Super Kings
7,Shivam Dube ,All-Rounder,4,Chennai Super Kings
8,Mitchell Santner ,All-Rounder,1.9,Chennai Super Kings
9,Rajvardhan Hangargekar ,Bowler,1.5,Chennai Super Kings
10,Prashant Solanki ,Bowler,1.2,Chennai Super Kings
11,Kyle Jamieson ,Bowler,1,Chennai Super Kings
12,Devon Conway ,Batter,1,Chennai Super Kings
13,Maheesh Theekshana ,Bowler,0.7,Chennai Super Kings
14,Nishant Sindhu ,All-Rounder,0.6,Chennai Super Kings
15,Ajinkya Rahane ,Batter,0.5,Chennai Super Kings
16,Dwaine Pretorius ,All-Rounder,0.5,Chennai Super Kings
17,Matheesha Pathirana ,Bowler,0.2,Chennai Super Kings
18,Mukesh Choudhary ,Bowler,0.2,Chennai Super Kings
19,Shaik Rasheed ,Batter,0.2,Chennai Super Kings
20,Simarjeet Singh ,Bowler,0.2,Chennai Super Kings
21,Subhranshu Senapati ,Batter,0.2,Chennai Super Kings
22,Bhagath Varma ,All-Rounder,0.2,Chennai Super Kings
23,Ajay Mandal ,All-Rounder,0.2,Chennai Super Kings
24,Tushar Deshpande ,Bowler,0.2,Chennai Super Kings
25,Rishabh Pant ,Wicket-Keeper,16,Delhi Capitals
26,Axar Patel ,All-Rounder,12,Delhi Capitals
27,Prithvi Shaw ,Batter,8,Delhi Capitals
28,Mitchell Marsh ,All-Rounder,6.5,Delhi Capitals
29,Anrich Nortje ,Bowler,6.5,Delhi Capitals
30,David Warner ,Batter,6.25,Delhi Capitals
31,Mukesh Kumar ,Bowler,5.5,Delhi Capitals
32,Khaleel Ahmed ,Bowler,5.25,Delhi Capitals
33,Rilee Rossouw ,Batter,4.6,Delhi Capitals
34,Chetan Sakariya ,Bowler,4.2,Delhi Capitals
35,Rovman Powell ,Batter,2.8,Delhi Capitals
36,Manish Pandey ,Batter,2.4,Delhi Capitals
37,Mustafizur Rahman ,Bowler,2,Delhi Capitals
38,Kuldeep Yadav ,Bowler,2,Delhi Capitals
39,Philip Salt ,Wicket-Keeper,2,Delhi Capitals
40,Kamlesh Nagarkoti ,Bowler,1.1,Delhi Capitals
41,Lalit Yadav ,All-Rounder,0.65,Delhi Capitals
42,Ishant Sharma ,Bowler,0.5,Delhi Capitals
43,Lungi Ngidi ,Bowler,0.5,Delhi Capitals
44,Pravin Dubey ,Bowler,0.5,Delhi Capitals
45,Yash Dhull ,Batter,0.5,Delhi Capitals
46,Ripal Patel ,Batter,0.2,Delhi Capitals
47,Aman Khan ,All-Rounder,0.2,Delhi Capitals
48,Vicky Ostwal ,Bowler,0.2,Delhi Capitals
49,Sarfaraz Khan ,Batter,0.2,Delhi Capitals
50,Hardik Pandya ,All-Rounder,15,Gujarat Titans
51,Rashid Khan ,Bowler,15,Gujarat Titans
52,Rahul Tewatia ,All-Rounder,9,Gujarat Titans
53,Shubman Gill ,Batter,8,Gujarat Titans
54,Mohammad Shami ,Bowler,6.25,Gujarat Titans
55,Shivam Mavi ,Bowler,6,Gujarat Titans
56,Josh Little ,Bowler,4.4,Gujarat Titans
57,Yash Dayal ,Bowler,3.2,Gujarat Titans
58,Sai Kishore ,All-Rounder,3,Gujarat Titans
59,David Miller ,Batter,3,Gujarat Titans
60,Abhinav Manohar ,Batter,2.6,Gujarat Titans
61,Alzarri Joseph ,Bowler,2.4,Gujarat Titans
62,Matthew Wade ,Wicket-Keeper,2.4,Gujarat Titans
63,Kane Williamson ,Batter,2,Gujarat Titans
64,Wriddhiman Saha ,Wicket-Keeper,1.9,Gujarat Titans
65,Jayant Yadav ,Bowler,1.7,Gujarat Titans
66,Vijay Shankar ,All-Rounder,1.4,Gujarat Titans
67,Srikar Bharat ,Wicket-Keeper,1.2,Gujarat Titans
68,Mohit Sharma ,Bowler,0.5,Gujarat Titans
69,Odean Smith ,All-Rounder,0.5,Gujarat Titans
70,Noor Ahmad ,Bowler,0.3,Gujarat Titans
71,Darshan Nalkande ,Bowler,0.2,Gujarat Titans
72,Urvil Patel ,Wicket-Keeper,0.2,Gujarat Titans
73,Sai Sudharsan ,Batter,0.2,Gujarat Titans
74,Pradeep Sangwan ,Bowler,0.2,Gujarat Titans
75,Andre Russell ,All-Rounder,16,Gujarat Titans
76,Shreyas Iyer ,Batter,12.25,Gujarat Titans
77,Varun Chakaravarthy ,Bowler,12,Gujarat Titans
78,Shardul Thakur ,Bowler,10.75,Gujarat Titans
79,Lockie Ferguson ,Bowler,10,Gujarat Titans
80,Venkatesh Iyer ,All-Rounder,8,Gujarat Titans
81,Nitish Rana ,Batter,8,Gujarat Titans
82,Sunil Narine ,All-Rounder,6,Gujarat Titans
83,Umesh Yadav ,Bowler,2,Gujarat Titans
84,Shakib Al Hasan ,All-Rounder,1.5,Gujarat Titans
